REGION,DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
ZIGUINCHOR,BIGNONA,KARTIACK,KOUDIOUBE,1,239,ECOLE KOUDIOUBE CLASSE CM 1
ZIGUINCHOR,BIGNONA,KARTIACK,MACOUDA,1,339,CLASSE CI
ZIGUINCHOR,BIGNONA,KARTIACK,MADINA DAFFE,1,383,CLASSE CM 2
ZIGUINCHOR,BIGNONA,KARTIACK,MADINA DAFFE,2,383,SALLE DE CLASSE
ZIGUINCHOR,BIGNONA,KARTIACK,MAHAMOUDA DIOLA,1,466,ECOLE MAHMOUDA DIOLA CLASSE CE 2
ZIGUINCHOR,BIGNONA,KARTIACK,SAMBOULANDIANG,1,218,DARSALAM CHERIF
ZIGUINCHOR,BIGNONA,KARTIACK,SELETI,1,583,CLASSE CM 2
ZIGUINCHOR,BIGNONA,KARTIACK,SELETI,2,583,CLASSE CI
ZIGUINCHOR,BIGNONA,KARTIACK,TAMBACOUNDA,1,174,CLASSE CI
ZIGUINCHOR,BIGNONA,KARTIACK,TAMBOUILLE,1,312,CLASSE CI
ZIGUINCHOR,BIGNONA,KARTIACK,TOUBA,1,569,CLASSE CI
ZIGUINCHOR,BIGNONA,KARTIACK,WONIACK,1,219,ECOLE KABAKEL
ZIGUINCHOR,BIGNONA,MANGAGOULACK,AFFINIAM,1,450,ECOLE CLASSE CE 1
ZIGUINCHOR,BIGNONA,MANGAGOULACK,AFFINIAM,2,451,ECOLE CLASSE CI
ZIGUINCHOR,BIGNONA,MANGAGOULACK,AFFINIAM BOUTEME,1,232,CLASSE CM2
ZIGUINCHOR,BIGNONA,MANGAGOULACK,BODE,1,185,CLASSE CE1
ZIGUINCHOR,BIGNONA,MANGAGOULACK,BOUTEGOL,1,453,CLASSE CE2
ZIGUINCHOR,BIGNONA,MANGAGOULACK,DIATOCK ECOLE ELEMENTAIRE,1,365,CLASSE CE1
ZIGUINCHOR,BIGNONA,MANGAGOULACK,DIATOCK ECOLE MATERNELLE,1,369,SALLE 1
ZIGUINCHOR,BIGNONA,MANGAGOULACK,DIATOCK FOYER DES JEUNES,1,367,ECOLE ELEMENTAIRE DE DIATOCK
ZIGUINCHOR,BIGNONA,MANGAGOULACK,ELANA,1,422,SALLE DE SPECTACLE
ZIGUINCHOR,BIGNONA,MANGAGOULACK,MANGAGOULACK,1,530,CLASSE CP2
ZIGUINCHOR,BIGNONA,MANGAGOULACK,TENDOUCK CEM,1,360,CLASSE 6EME A
ZIGUINCHOR,BIGNONA,MANGAGOULACK,TENDOUCK CEM,2,361,CLASSE TERM. L2 B
ZIGUINCHOR,BIGNONA,MANGAGOULACK,TENDOUCK ECOLE ELEMENTAIRE,1,363,CP A
ZIGUINCHOR,BIGNONA,MANGAGOULACK,TENDOUCK ECOLE ELEMENTAIRE,2,365,CP B
ZIGUINCHOR,BIGNONA,MLOMP (BIGNONA),ECOLE KAWAGUIR,1,347,CLASSE CP2
ZIGUINCHOR,BIGNONA,MLOMP (BIGNONA),EDIAMATH,1,337,CLASSE CP2
ZIGUINCHOR,BIGNONA,MLOMP (BIGNONA),MLOMP,1,456,CLASSE CI
ZIGUINCHOR,BIGNONA,MLOMP (BIGNONA),MLOMP,2,454,CLASSE CP
ZIGUINCHOR,BIGNONA,MLOMP (BIGNONA),MLOMP,3,456,CLASSE CE1
ZIGUINCHOR,BIGNONA,MLOMP (BIGNONA),MLOMP,4,456,CLASSE CM 2 B
ZIGUINCHOR,BIGNONA,NIAMONE,BAGHAGHA,1,440,ECOLE ELEMENTAIRE CLASSE CM 1
ZIGUINCHOR,BIGNONA,NIAMONE,COLOMBA,1,223,ECOLE ELEMENTAIRE CLASSE CE 1
ZIGUINCHOR,BIGNONA,NIAMONE,COLOMBA,2,221,ECOLE ELEMENTAIRE CLASSE CE 2
ZIGUINCHOR,BIGNONA,NIAMONE,DIANDIALATTE,1,369,FOYER DES JEUNES
ZIGUINCHOR,BIGNONA,NIAMONE,DIENGUE,1,292,ECOLE ELEMENTAIRE CLASSE CE 1
ZIGUINCHOR,BIGNONA,NIAMONE,ECOLE ELEMENTAIRE DE KASSANKIL,1,381,CLASSE CE 1
ZIGUINCHOR,BIGNONA,NIAMONE,ECOLE ELEMENTAIRE DE NIAMONE,1,294,CLASSE C E 2
ZIGUINCHOR,BIGNONA,NIAMONE,ECOLE ELEMENTAIRE DE NIAMONE,2,293,CLASSE CM 1
ZIGUINCHOR,BIGNONA,NIAMONE,ECOLE ELEMENTAIRE DE TABI,1,526,CLASSE C E 1
ZIGUINCHOR,BIGNONA,NIAMONE,TOBOR,1,592,ECOLE ELEMENTAIRE CLASSE C E 1
ZIGUINCHOR,BIGNONA,NIAMONE,TOBOR,2,592,ECOLE ELEMENTAIRE CLASSE C M 1
ZIGUINCHOR,BIGNONA,OULAMPANE,BALANKINE NORD,1,297,ECOLE SALLE 1
ZIGUINCHOR,BIGNONA,OULAMPANE,BOUGOUTOUB DJOUNOUBOR,1,429,ECOLE SALLE 1
ZIGUINCHOR,BIGNONA,OULAMPANE,BOUKEKOUM,1,386,ECOLE SALLE 1
ZIGUINCHOR,BIGNONA,OULAMPANE,DIANGO,1,337,ECOLE SALLE 1
ZIGUINCHOR,BIGNONA,OULAMPANE,DIANGO,2,336,ECOLE SALLE 2
ZIGUINCHOR,BIGNONA,OULAMPANE,DIOUNDAN KATAMPOR,1,354,ECOLE SALLE 1
ZIGUINCHOR,BIGNONA,OULAMPANE,DJILONGUIA,1,284,ECOLE SALLE 1
ZIGUINCHOR,BIGNONA,OULAMPANE,GOUNGOULOU,1,237,ECOLE SALLE 1
ZIGUINCHOR,BIGNONA,OULAMPANE,GRAND COULAYE,1,300,ECOLE SALLE 1
ZIGUINCHOR,BIGNONA,OULAMPANE,KANDIADIOU,1,183,ECOLE SALLE 1
ZIGUINCHOR,BIGNONA,OULAMPANE,KOUNDIOUGHOR,1,203,ECOLE SALLE 1
ZIGUINCHOR,BIGNONA,OULAMPANE,MAMPALAGO,1,483,ECOLE SALLE 1
ZIGUINCHOR,BIGNONA,OULAMPANE,MAMPALAGO,2,221,ECOLE SALLE 2
ZIGUINCHOR,BIGNONA,OULAMPANE,OULAMPANE,1,467,ECOLE SALLE 1
ZIGUINCHOR,BIGNONA,OULAMPANE,OULAMPANE,2,465,ECOLE SALLE 2
ZIGUINCHOR,BIGNONA,OULAMPANE,SILINKINE,1,319,ECOLE SALLE 1
ZIGUINCHOR,BIGNONA,OULAMPANE,SILINKINE,2,319,ECOLE SALLE 2
ZIGUINCHOR,BIGNONA,OULAMPANE,YABOCOUNDA,1,384,ECOLE SALLE 1
ZIGUINCHOR,BIGNONA,OUONCK,DJINOUBOR,1,459,ECOLE ELEMENTAIRE CLASSE CE 1
ZIGUINCHOR,BIGNONA,OUONCK,ECOLE ELEMENTAIRE DE BOULANDOR,1,411,CLASSE CM 1
ZIGUINCHOR,BIGNONA,OUONCK,ECOLE ELEMENTAIRE DE CONGOLI,1,534,CLASSE C E 2
ZIGUINCHOR,BIGNONA,OUONCK,KIGNINDING,1,512,ECOLE ELEMENTAIRE CLASSE CE 1
ZIGUINCHOR,BIGNONA,OUONCK,NDIEBA,1,418,ECOLE ELEMENTAIRE CLASSE CM 1
